"Herb Name","Common Name","Location","Status","Quantity","Notes","Tincture Started","Tincture Ready","Created At"
"Melissa/lemon balm","","backstock","full","0","","","","2026-01-21T20:25:51.052463+00:00"
"Lemongrass","","backstock","full","0","","","","2026-01-21T20:25:04.374599+00:00"
"Lavender","","backstock","full","0","","","","2026-01-21T20:25:03.351053+00:00"
"Lycopus","","backstock","full","0","","","","2026-01-21T20:25:02.394939+00:00"
"Licorice","","backstock","full","0","","","","2026-01-21T20:25:01.30001+00:00"
"Ladies mantle","","backstock","full","0","","","","2026-01-21T20:25:00.226965+00:00"
"Fireweed","","backstock","full","0","","","","2026-01-21T20:24:59.242249+00:00"
"Hops","","backstock","full","0","","","","2026-01-21T20:24:58.319568+00:00"
"Hyssop","","backstock","full","0","","","","2026-01-21T20:24:57.276388+00:00"
"Feverfew","","backstock","full","0","","","","2026-01-21T20:24:17.953307+00:00"
"Horsechestnut","","backstock","full","0","","","","2026-01-21T20:24:16.97079+00:00"
"Ginko","","backstock","full","0","","","","2026-01-21T20:24:16.028389+00:00"
"Eclipta","","backstock","full","0","","","","2026-01-21T20:24:15.063287+00:00"
"Eluethero","","backstock","full","0","","","","2026-01-21T20:24:13.816548+00:00"
"Echinacea","","backstock","full","0","","","","2026-01-21T20:24:12.773334+00:00"
"Eyebright","","backstock","full","0","","","","2026-01-21T20:24:11.779464+00:00"
"Couch grass","","backstock","full","0","","","","2026-01-21T20:24:09.86754+00:00"
"Cats claw","","backstock","full","0","","","","2026-01-21T20:24:08.93022+00:00"
"Baptisia","","backstock","full","0","","","","2026-01-21T20:24:07.87652+00:00"
"Birch","","backstock","full","0","","","","2026-01-21T20:22:57.247931+00:00"
"Blessed thistle","","backstock","full","0","","","","2026-01-21T20:22:54.977477+00:00"
"Black hole","","backstock","full","0","","","","2026-01-21T20:22:54.022326+00:00"
"Bee balm","","backstock","full","0","","","","2026-01-21T20:22:52.863831+00:00"
"Burdock","","backstock","full","0","","","","2026-01-21T20:21:10.672422+00:00"
"Black cohosh","","backstock","full","0","","","","2026-01-21T20:21:09.279456+00:00"
"Borage","","backstock","full","0","","","","2026-01-21T20:21:08.085721+00:00"
"Artichoke","","backstock","full","0","","","","2026-01-21T20:21:07.036901+00:00"
"Artemisia","","backstock","full","0","","","","2026-01-21T20:21:06.02544+00:00"
"Ashwanganda","","backstock","full","0","","","","2026-01-21T20:21:03.960134+00:00"
"Hawthorne","","clinic","out","0","","","","2026-01-21T20:19:27.797296+00:00"
"Nettle","","clinic","out","0","","","","2026-01-21T20:19:26.870919+00:00"
